id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
22100,Female,Urban,High School,5.74,1,2,2287.0,More than 1,A,Platinum,109296
54242,Male,Rural,High School,8.22,1,4,3502.0,More than 1,B,Silver,67188
86221,Male,,High School,9.26,1,5,3257.0,More than 1,A,Platinum,52404
21393,Male,Rural,Bachelor,35.67,0,5,0.0,More than 1,B,Platinum,61848
40102,Female,Urban,High School,7.46,0,2,4430.0,1,B,Silver,35112
85846,Female,Urban,High School,8.13,1,7,,More than 1,A,Gold,60672
14683,Female,Urban,High School,7.9,1,5,9309.0,More than 1,A,Platinum,194232
74261,Male,Urban,High School,,1,2,,1,A,Gold,31620
41919,Male,Rural,Bachelor,5.07,1,2,0.0,1,A,Silver,71724
6109,Female,Urban,High School,29.18,1,4,6631.0,1,A,Platinum,35652
34109,Female,Rural,Bachelor,3.53,1,2,0.0,More than 1,B,Platinum,98820
78342,Male,,High School,5.87,0,6,5483.0,1,B,Platinum,35736
33068,Female,Urban,Bachelor,5.77,0,8,5562.0,More than 1,A,Platinum,47832
66816,Male,Urban,High School,5.07,0,2,5465.0,More than 1,C,Platinum,107100
45897,Male,Urban,High School,79.57,0,4,,More than 1,A,Silver,112860
74472,Male,Urban,Bachelor,6.56,1,2,2805.0,1,A,Gold,36984
34571,Female,,Others,3.53,1,4,,More than 1,A,Gold,167976
29718,Male,Urban,Others,,1,4,5290.0,1,A,Platinum,31692
55810,Female,Urban,Bachelor,2.73,0,2,6416.0,More than 1,B,Silver,71004
29984,Male,Urban,High School,56.13,1,7,0.0,More than 1,A,Platinum,71184
73864,Male,Rural,High School,97.36,0,2,,1,B,Silver,75012
88494,Female,Urban,Bachelor,8.51,1,1,4884.0,More than 1,A,Platinum,62292
73245,Female,Urban,High School,4.82,0,3,0.0,More than 1,B,Silver,72072
76660,Male,Rural,Others,8.56,1,0,0.0,1,A,Silver,35412
67776,Male,Urban,Bachelor,9.64,0,8,4112.0,1,A,Platinum,66288
67274,Female,Rural,Bachelor,7.35,1,6,0.0,More than 1,B,Platinum,113172
84500,Female,Rural,Bachelor,4.45,0,8,2147.0,1,C,Platinum,35664
27606,Male,Urban,Bachelor,7.24,0,5,2284.0,1,A,Platinum,41352
53303,Female,Urban,High School,,1,6,,More than 1,,Platinum,66360
3534,Female,Urban,High School,4.65,1,7,4898.0,More than 1,A,Silver,104496
13261,Male,Urban,High School,2.6,0,4,6893.0,More than 1,A,Platinum,69336
74672,Male,Rural,High School,88.43,1,2,2079.0,1,A,Gold,34872
32738,Female,Rural,Bachelor,7.12,1,4,5612.0,More than 1,A,Silver,66432
26115,Male,Urban,High School,,1,6,14592.0,More than 1,A,Gold,56928
27169,Male,Rural,Bachelor,7.4,1,6,3991.0,1,A,Platinum,32136
80364,Male,Urban,High School,83.95,1,5,5983.0,1,A,Gold,28428
54603,Male,Urban,Bachelor,8.8,1,7,12619.0,More than 1,A,Silver,61824
85501,Male,Urban,High School,9.58,1,8,0.0,More than 1,A,Platinum,51048
50644,Female,Urban,High School,4.84,1,5,3819.0,1,B,Platinum,60456
7884,Female,Urban,Bachelor,5.48,1,6,8626.0,More than 1,A,Platinum,61296
43005,Male,Urban,Bachelor,8.71,1,1,5564.0,1,A,Platinum,33408
48046,Female,Urban,Bachelor,14.45,1,7,,More than 1,B,Platinum,91344
28951,Male,Urban,Bachelor,31.89,1,1,2194.0,More than 1,A,Silver,47712
1839,Female,Rural,High School,5.63,0,4,4121.0,1,A,Gold,92988
40201,Male,Urban,High School,6.23,1,7,6312.0,More than 1,B,Gold,67128
15634,Female,Rural,High School,92.4,0,1,0.0,More than 1,,Platinum,35604
65163,Female,Rural,High School,8.72,0,4,4012.0,1,A,Platinum,64380
36175,Male,Urban,High School,7.23,0,3,4457.0,More than 1,A,Silver,104028
53436,Male,Rural,Bachelor,8.7,1,4,2803.0,More than 1,C,Gold,47268
45197,Female,Urban,Bachelor,6.14,1,8,10641.0,More than 1,C,Platinum,450780
72629,Male,Rural,Bachelor,7.73,1,7,4019.0,More than 1,A,Platinum,66720
74944,Male,Urban,Bachelor,34.57,0,2,4137.0,More than 1,A,Gold,461796
86831,Female,Rural,Bachelor,5.64,1,4,0.0,More than 1,A,Silver,99492
31234,Male,Rural,Bachelor,3.83,0,4,,More than 1,B,Gold,141000
83775,Male,Urban,Bachelor,14.67,1,8,3141.0,More than 1,A,Platinum,106752
52072,Female,Rural,High School,6.22,1,3,3427.0,More than 1,B,Platinum,62292
42781,Female,Urban,High School,,1,6,4072.0,More than 1,C,Platinum,62784
38081,Female,Urban,High School,4.96,1,7,6646.0,1,,Gold,113364
19252,Male,Urban,Bachelor,18.19,1,2,5701.0,More than 1,A,Gold,67968
26284,Male,Rural,High School,6.68,1,5,5399.0,More than 1,A,Platinum,67092
85224,Male,Urban,High School,6.77,0,1,5203.0,More than 1,A,Gold,66480
67104,Male,Urban,Bachelor,9.41,1,6,4118.0,More than 1,B,Platinum,66840
73428,Male,Urban,High School,8.81,0,0,6916.0,More than 1,A,Gold,101940
23027,Female,Urban,Bachelor,85.36,0,2,3501.0,More than 1,A,Gold,51672
59639,Female,Urban,Bachelor,6.09,1,4,6561.0,More than 1,A,Platinum,57588
36236,Female,Urban,High School,9.9,0,3,3935.0,More than 1,A,Silver,105540
70184,Female,Urban,High School,1.42,1,2,13743.0,More than 1,C,Platinum,153192
20939,Female,Urban,High School,6.78,0,8,5992.0,More than 1,C,Silver,107004
23109,Female,,High School,9.85,0,2,5026.0,More than 1,B,Silver,109428
38733,Female,Urban,Bachelor,4.5,1,5,2266.0,More than 1,A,Platinum,64500
68021,Male,Urban,High School,6.46,0,5,9268.0,More than 1,A,Platinum,250128
17528,Male,Urban,High School,3.17,1,6,5605.0,More than 1,A,Platinum,194808
57289,Male,Urban,Bachelor,4.91,1,4,4269.0,More than 1,A,Gold,297300
46967,Male,Urban,Bachelor,42.36,1,0,4226.0,More than 1,A,Gold,73512
20787,Female,Urban,Bachelor,6.77,1,1,5133.0,More than 1,A,Platinum,483624
49365,Female,Rural,Bachelor,3.93,1,6,0.0,More than 1,B,Gold,66084
11790,Female,Rural,High School,9.12,1,2,0.0,1,A,Platinum,31548
52652,Male,Rural,Bachelor,6.4,1,2,3089.0,More than 1,C,Platinum,164448
38947,Female,Rural,Bachelor,77.35,1,3,0.0,1,B,Platinum,33120
72049,Male,Rural,Bachelor,9.08,1,1,0.0,More than 1,A,Platinum,70548
17795,Female,Urban,Bachelor,9.81,0,7,6303.0,More than 1,,Platinum,60432
37559,Female,Urban,High School,24.36,0,2,6629.0,More than 1,B,Silver,76800
31468,Female,Rural,Bachelor,7.14,1,8,0.0,More than 1,C,Platinum,183228
9969,Male,Urban,High School,,1,6,4085.0,More than 1,,Platinum,60888
60626,Female,Urban,High School,8.61,1,5,5209.0,More than 1,C,Platinum,107712
45723,Male,Rural,High School,8.22,1,7,0.0,More than 1,A,Gold,322128
83413,Female,Urban,Bachelor,5.49,0,6,9424.0,More than 1,A,Platinum,95964
6926,Male,Rural,High School,,1,5,7810.0,More than 1,B,Platinum,65832
56157,Female,Urban,High School,39.47,1,5,3928.0,More than 1,A,Gold,60384
33517,Male,Urban,Bachelor,39.15,0,7,3499.0,More than 1,A,Gold,57828
60876,Female,Urban,Bachelor,6.06,0,6,11093.0,More than 1,A,Platinum,104400
79297,Male,Urban,Bachelor,7.4,0,6,5549.0,More than 1,C,Platinum,64464
16062,Male,Urban,Bachelor,4.06,1,3,4426.0,More than 1,,Platinum,108744
82405,Female,Rural,Bachelor,8.4,0,7,0.0,1,A,Platinum,79380
64952,Male,Urban,High School,5.11,1,5,3613.0,More than 1,A,Platinum,88008
68238,Female,Rural,High School,8.06,0,2,,1,B,Silver,47088
24859,Male,Urban,Bachelor,9.84,1,0,6136.0,1,A,Platinum,35940
49720,Female,Urban,High School,3.22,0,1,7202.0,More than 1,A,Platinum,63624
2229,Male,Rural,Bachelor,6.48,1,4,4759.0,More than 1,B,Silver,59160
29906,Male,Rural,Bachelor,77.67,1,2,0.0,1,A,Platinum,33516
46422,Female,Urban,High School,2.69,1,6,0.0,1,B,Silver,46056
27151,Female,,High School,2.87,1,4,5735.0,More than 1,,Silver,255684
64325,Female,Urban,Bachelor,7.46,1,8,4190.0,1,A,Platinum,40836
28145,Male,Rural,High School,2.25,0,6,3757.0,More than 1,B,Platinum,69204
51866,Female,Rural,Bachelor,8.01,1,7,,More than 1,A,Gold,321972
32807,Male,Urban,High School,2.56,0,5,3857.0,More than 1,B,Platinum,65940
15778,Male,Urban,High School,3.9,1,7,0.0,1,A,Platinum,30060
81241,Male,Urban,High School,9.47,0,7,0.0,1,A,Platinum,31584
81009,Female,Urban,Bachelor,3.94,0,5,4145.0,More than 1,B,Platinum,106884
61634,Male,Urban,Bachelor,9.16,0,0,4267.0,More than 1,B,Silver,121248
26511,Male,Urban,High School,3.99,0,7,17967.0,More than 1,B,Silver,107268
16104,Male,Urban,High School,5.08,0,6,5524.0,More than 1,A,Platinum,108240
79109,Male,Urban,High School,4.59,0,4,3733.0,More than 1,A,Platinum,57756
11178,Female,Urban,High School,92.79,0,6,6029.0,More than 1,A,Gold,284880
17494,Male,Rural,High School,41.15,0,8,0.0,1,B,Platinum,41664
2584,Female,Urban,High School,86.41,1,1,2570.0,1,A,Platinum,50592
72988,Male,Urban,High School,7.17,1,8,4585.0,More than 1,A,Platinum,480960
82282,Male,Urban,High School,2.63,0,1,5470.0,1,A,Gold,33264
88145,Female,Urban,High School,7.53,1,3,6375.0,More than 1,A,Platinum,93288
40839,Male,Rural,High School,9.07,0,7,0.0,More than 1,A,Platinum,67536
70566,Male,Urban,Bachelor,8.87,1,6,2705.0,1,A,Gold,30732
82674,Female,Rural,High School,5.36,1,6,5598.0,1,B,Gold,45528
67872,Male,Urban,Bachelor,3.87,0,6,9299.0,More than 1,B,Platinum,71664
70689,Female,Rural,High School,9.02,0,3,3628.0,1,A,Platinum,50052
78561,Female,Urban,High School,6.28,1,0,0.0,More than 1,A,Platinum,60708
22416,Male,Urban,Bachelor,,0,8,3167.0,More than 1,B,Silver,77964
53347,Male,Urban,Bachelor,2.56,0,5,5953.0,1,A,Gold,33156
79036,Male,Urban,High School,5.81,0,4,23375.0,More than 1,B,Platinum,57936
64416,Female,Urban,Bachelor,2.08,0,7,6024.0,More than 1,A,Silver,95436
79206,Male,Urban,High School,4.59,0,8,6545.0,More than 1,B,Platinum,441444
33986,Male,Rural,High School,8.12,1,4,6467.0,More than 1,C,Gold,88788
83038,Female,Urban,High School,2.91,0,7,5654.0,More than 1,A,Silver,191088
23041,Female,Rural,Bachelor,6.46,1,7,0.0,More than 1,A,Silver,74244
23085,Female,Rural,Bachelor,5.16,0,7,0.0,1,B,Platinum,33720
79481,Male,Urban,High School,8.73,1,2,5176.0,More than 1,B,Platinum,67056
84024,Female,Urban,Bachelor,9.62,0,5,8527.0,More than 1,A,Platinum,102000
43581,Female,Urban,High School,6.2,1,3,3851.0,1,A,Gold,35664
37339,Female,Urban,Bachelor,9.8,1,4,6057.0,1,,Platinum,31056
18768,Female,,High School,9.05,1,7,7119.0,More than 1,A,Platinum,29976
21740,Female,Rural,High School,6.47,0,1,3923.0,1,C,Platinum,36372
41079,Male,,High School,9.53,1,6,,1,A,Gold,36000
52174,Female,Urban,High School,2.31,1,4,5372.0,1,A,Silver,30456
88044,Female,Urban,Bachelor,8.64,1,0,2186.0,More than 1,A,Platinum,116028
17882,Female,Urban,High School,93.24,1,3,3487.0,More than 1,A,Platinum,110652
88214,Female,Urban,Bachelor,2.32,0,5,8161.0,More than 1,B,Silver,69444
67176,Female,Urban,Bachelor,2.55,1,8,4432.0,More than 1,B,Gold,60876
36646,Male,Urban,High School,3.02,1,5,5907.0,1,B,Gold,72744
42711,Female,,Bachelor,8.42,0,2,0.0,More than 1,B,Gold,175500
60766,Male,Urban,Bachelor,8.85,0,7,4606.0,More than 1,B,Platinum,79956
58220,Male,Urban,Bachelor,6.16,0,2,17890.0,More than 1,B,Gold,61668
5935,Female,,High School,3.44,0,2,3919.0,More than 1,A,Gold,172560
1612,Male,Urban,High School,5.19,1,4,0.0,More than 1,C,Platinum,180792
22426,Female,Rural,High School,5.16,1,6,0.0,More than 1,A,Platinum,74136
75236,Female,,High School,2.56,1,6,4328.0,1,C,Silver,36396
36472,Female,Urban,Bachelor,9.46,0,7,5784.0,1,A,Platinum,35064
23060,Female,Urban,High School,39.39,1,0,0.0,More than 1,A,Silver,66768
15286,Female,Urban,Bachelor,3.26,1,6,6438.0,More than 1,A,Platinum,278208
20498,Female,Rural,Bachelor,6.04,1,2,2713.0,More than 1,B,Platinum,291336
71517,Female,Rural,High School,72.67,1,4,0.0,1,A,Silver,48576
26314,Male,Urban,Bachelor,2.17,0,5,0.0,More than 1,B,Platinum,66936
16135,Female,Urban,High School,7.9,1,7,3133.0,More than 1,A,Gold,57984
34165,Female,Rural,High School,9.34,1,6,4966.0,1,B,Gold,34956
53066,Male,Urban,High School,7.74,1,5,3629.0,More than 1,A,Platinum,96060
61765,Male,Rural,High School,44.02,0,3,3062.0,More than 1,A,Platinum,31344
23439,Female,Urban,High School,9.54,1,5,0.0,More than 1,A,Platinum,67476
3917,Male,Rural,Bachelor,58.08,1,0,0.0,More than 1,A,Platinum,63288
70403,Male,Urban,High School,8.84,1,2,6152.0,1,A,Platinum,30528
75468,Male,Urban,Bachelor,5.01,1,4,4302.0,1,A,Gold,70680
34380,Female,Urban,Bachelor,1.61,0,4,3866.0,1,A,Platinum,29976
955,Female,Urban,Others,3.78,0,6,5269.0,More than 1,A,Gold,60576
59015,Male,Urban,High School,86.12,1,1,3960.0,More than 1,A,Silver,50232
5448,Male,Rural,Bachelor,,1,3,4140.0,1,A,Silver,32976
71358,Male,Urban,High School,4.73,1,1,5736.0,More than 1,A,Platinum,56820
54956,Female,Urban,High School,9.92,1,6,,More than 1,A,Platinum,331824
17848,Female,Rural,Bachelor,5.76,1,6,2415.0,More than 1,A,Gold,187356
52001,Female,Urban,Bachelor,4.53,1,8,5961.0,More than 1,A,Platinum,238548
51040,Male,Urban,Bachelor,8.18,1,5,5859.0,More than 1,A,Platinum,57948
85563,Female,Urban,High School,7.18,1,7,4403.0,1,B,Gold,35184
78711,Male,Urban,Bachelor,9.69,0,5,4035.0,More than 1,B,Silver,100740
16244,Female,Rural,High School,2.02,1,6,2600.0,More than 1,B,Silver,58332
62233,Female,Urban,High School,8.99,1,1,4133.0,1,A,Platinum,29124
32247,Male,Urban,High School,3.35,0,6,3628.0,1,B,Silver,37236
86446,Male,,High School,5.3,1,1,6904.0,More than 1,A,Silver,68580
81128,Female,Urban,Bachelor,4.81,0,8,5419.0,More than 1,B,Gold,156996
39071,Male,Urban,Bachelor,56.96,1,4,2403.0,1,B,Silver,72048
30703,Male,Urban,Bachelor,3.18,0,5,5308.0,More than 1,A,Platinum,176208
81920,Female,Urban,High School,7.85,0,4,3903.0,1,A,Silver,30948
19152,Female,Urban,Bachelor,72.7,0,5,,1,B,Platinum,61464
87418,Female,Rural,Bachelor,85.3,0,6,2041.0,1,A,Silver,71112
212,Female,Urban,Bachelor,5.54,0,3,3900.0,More than 1,A,Platinum,62172
35554,Male,Urban,High School,3.73,0,5,5965.0,More than 1,B,Silver,65976
49439,Female,Rural,High School,6.55,1,6,4413.0,1,A,Gold,60792
17964,Male,Urban,High School,7.73,1,1,3690.0,More than 1,A,Platinum,65232
3614,Female,Urban,High School,7.88,1,3,0.0,1,A,Silver,32532
89005,Female,Rural,Bachelor,9.8,1,3,3715.0,1,A,Gold,52668
52840,Female,Urban,High School,7.94,1,7,4127.0,1,A,Silver,55524
79268,Male,Urban,Bachelor,3.36,1,7,6126.0,More than 1,A,Platinum,419736
18798,Female,Urban,Bachelor,4.38,0,2,4030.0,More than 1,A,Silver,59700
64718,Female,Urban,High School,,0,1,5427.0,1,A,Gold,35088
79127,Female,Rural,High School,7.92,0,6,0.0,More than 1,,Platinum,63228
14293,Male,Urban,High School,9.39,0,6,0.0,More than 1,B,Platinum,65388
28491,Male,Urban,Bachelor,9.8,1,5,5654.0,1,A,Platinum,31476
38032,Female,Urban,High School,4.13,0,6,6590.0,More than 1,A,Gold,62760
7068,Female,Urban,High School,8.35,1,7,,More than 1,A,Platinum,111684
9519,Male,Urban,Bachelor,2.17,1,6,7747.0,1,A,Gold,49836
73804,Female,Rural,High School,8.84,1,6,5270.0,1,C,Gold,33096
84008,Male,Urban,Bachelor,28.64,1,1,2474.0,1,B,Silver,55044
1196,Female,Rural,Bachelor,5.51,1,3,2304.0,More than 1,A,Gold,71148
43060,Male,Urban,Bachelor,4.1,1,2,4483.0,More than 1,A,Gold,71604
36097,Female,,High School,7.31,1,3,6023.0,More than 1,A,Platinum,61596
49695,Female,Urban,High School,5.08,0,2,4359.0,1,B,Platinum,44052
2121,Female,Urban,High School,6.87,1,5,3398.0,More than 1,A,Platinum,322392
64898,Female,Urban,High School,6.9,1,2,3783.0,1,A,Platinum,98172
17739,Male,Rural,High School,,0,4,2121.0,More than 1,B,Platinum,62112
66902,Male,Urban,Others,8.05,0,8,6719.0,More than 1,B,Platinum,152628
1723,Male,Urban,High School,8.98,0,5,4196.0,1,B,Silver,55068
15598,Female,,High School,6.07,0,6,2811.0,1,,Gold,57324
53275,Male,Urban,Bachelor,8.55,0,6,4132.0,1,,Silver,35376
29047,Female,Urban,High School,6.65,0,8,,More than 1,A,Platinum,113100
40156,Male,Urban,Bachelor,7.24,0,6,6094.0,More than 1,C,Platinum,75132
78966,Male,Urban,High School,3.29,0,4,2123.0,More than 1,A,Gold,220872
63511,Male,Rural,High School,7.32,1,2,2565.0,1,A,Platinum,33000
25115,Male,Rural,High School,6.81,1,8,4297.0,More than 1,A,Gold,53940
61887,Female,Rural,High School,6.79,1,4,2346.0,More than 1,B,Gold,115236
69597,Female,Urban,High School,64.63,0,5,5326.0,1,A,Platinum,52596
77184,Male,Urban,Others,96.15,1,2,7105.0,1,C,Gold,31212
41300,Male,Urban,Bachelor,3.13,1,2,5730.0,More than 1,B,Silver,264960
48367,Male,Urban,High School,10.31,0,4,3589.0,More than 1,A,Platinum,108336
28653,Female,Urban,High School,4.55,1,6,5865.0,1,A,Silver,33804
34230,Male,Urban,Bachelor,3.64,1,6,,1,B,Silver,49524
57578,Male,Urban,High School,8.16,0,5,3512.0,More than 1,B,Platinum,185412
61429,Male,Rural,Bachelor,5.29,0,4,0.0,More than 1,B,Gold,99816
5881,Male,Urban,High School,5.27,0,6,,More than 1,B,Platinum,59364
27626,Female,Urban,High School,13.25,1,5,3851.0,More than 1,A,Gold,86208
83713,Male,Urban,High School,1.23,0,8,4470.0,More than 1,B,Platinum,168012
47571,Female,Urban,High School,8.85,0,0,7644.0,More than 1,B,Silver,61848
81456,Male,Rural,Bachelor,9.73,1,4,,1,B,Gold,69240
37309,Female,Urban,High School,6.39,0,2,4859.0,More than 1,A,Silver,24828
39060,Male,Urban,Bachelor,2.37,1,0,5412.0,More than 1,B,Gold,59940
39058,Male,Urban,High School,6.31,1,8,4199.0,More than 1,A,Silver,62304
70878,Male,Urban,High School,5.08,0,6,2640.0,More than 1,A,Platinum,104988
79152,Female,Rural,High School,6.66,0,1,,1,A,Silver,54156
56306,Female,Urban,Bachelor,5.92,0,6,14014.0,More than 1,A,Platinum,54288
43884,Male,Urban,Bachelor,5.96,1,6,,1,A,Gold,32940
76586,Male,Urban,Bachelor,5.73,0,5,,More than 1,A,Platinum,276144
10204,Male,,High School,45.46,0,5,4102.0,More than 1,A,Gold,66540
79755,Female,Rural,High School,5.77,1,7,0.0,1,A,Gold,32736
2467,Female,Urban,High School,7.83,0,3,12637.0,More than 1,C,Silver,61668
38875,Male,Rural,Bachelor,9.52,1,0,0.0,More than 1,C,Platinum,63240
14567,Female,Urban,High School,16.47,0,6,,More than 1,A,Silver,70656
2590,Male,Rural,High School,51.23,1,1,,More than 1,A,Gold,54768
11445,Female,Rural,Bachelor,9.24,1,4,0.0,More than 1,A,Platinum,106212
15378,Female,Urban,High School,6.07,1,7,0.0,More than 1,,Silver,62412
81765,Female,Rural,High School,9.44,0,2,3741.0,1,B,Platinum,70188
41849,Male,Urban,Bachelor,,0,8,0.0,More than 1,A,Platinum,94176
6029,Male,Urban,Bachelor,9.61,0,1,5888.0,1,A,Gold,33276
37010,Male,Urban,Bachelor,2.48,0,7,5426.0,1,B,Silver,33144
6034,Male,,High School,68.99,0,6,0.0,More than 1,B,Platinum,61272
53784,Male,Urban,Bachelor,2.5,1,5,3838.0,More than 1,A,Silver,450096
69382,Male,Rural,High School,4.08,1,2,4305.0,1,A,Gold,129024
34235,Female,Rural,Bachelor,9.32,1,5,0.0,More than 1,A,Platinum,63876
62720,Female,Urban,High School,3.01,0,7,0.0,More than 1,B,Platinum,153012
46700,Female,Urban,Bachelor,11.52,0,5,3195.0,More than 1,,Silver,55884
72792,Male,Urban,High School,5.33,0,2,5148.0,More than 1,B,Silver,75936
20159,Male,Urban,High School,4.77,1,6,2806.0,More than 1,,Silver,319968
33606,Male,Urban,High School,,1,3,3748.0,1,A,Platinum,32664
60752,Female,Urban,Bachelor,5.5,0,6,9627.0,1,A,Platinum,30444
5462,Male,Urban,High School,8.99,1,5,6443.0,1,A,Silver,40128
3947,Female,Urban,High School,7.75,1,3,2996.0,More than 1,A,Platinum,89916
31487,Male,Rural,High School,9.7,0,3,0.0,1,B,Platinum,69636
21373,Male,Urban,High School,20.59,0,8,6083.0,More than 1,C,Silver,63480
60166,Male,Urban,Bachelor,6.68,0,6,7718.0,More than 1,C,Platinum,494796
50999,Male,Urban,Bachelor,3.78,0,7,4075.0,1,A,Silver,64440
49035,Male,Rural,Bachelor,7.03,0,8,4292.0,More than 1,A,Platinum,53940
46068,Female,Urban,High School,4.16,1,6,4405.0,More than 1,A,Silver,56196
72508,Female,Rural,High School,74.41,0,3,0.0,More than 1,A,Platinum,368268
24305,Female,Rural,High School,,1,7,0.0,1,A,Silver,47208
23708,Female,Urban,High School,3.33,1,3,4530.0,More than 1,A,Silver,105876
22008,Female,Rural,High School,8.26,0,5,0.0,1,A,Silver,48480
1197,Male,Urban,Bachelor,90.88,1,6,4091.0,More than 1,A,Silver,56988
31454,Female,Urban,High School,2.87,1,2,5887.0,More than 1,A,Gold,106836
43791,Female,Urban,High School,6.42,1,4,0.0,More than 1,A,Gold,107916
9540,Female,Urban,High School,4.0,1,7,6649.0,More than 1,A,Platinum,251028
14046,Female,Rural,Bachelor,39.54,0,5,3578.0,More than 1,A,Platinum,109440
72805,Female,Rural,High School,8.08,1,2,5897.0,More than 1,B,Gold,100308
859,Male,Urban,High School,2.49,1,7,9943.0,More than 1,B,Gold,73236
12319,Female,Urban,High School,77.63,1,5,6624.0,More than 1,C,Gold,425952
72520,Male,Urban,Bachelor,74.52,0,6,7523.0,More than 1,B,Silver,60372
88107,Female,Urban,High School,,0,0,3896.0,1,A,Platinum,56412
22390,Female,Urban,Bachelor,5.83,0,8,8754.0,More than 1,A,Platinum,90096
50696,Male,Rural,Bachelor,5.39,1,0,6476.0,More than 1,A,Gold,64872
43398,Male,Rural,Others,6.55,1,6,3276.0,1,B,Silver,31272
34323,Female,Urban,Bachelor,2.55,0,6,6992.0,More than 1,,Silver,76020
70905,Male,Urban,Bachelor,4.81,0,4,10132.0,More than 1,A,Silver,314748
18302,Male,Urban,High School,7.29,1,1,4249.0,1,B,Platinum,31284
1113,Male,Urban,High School,7.25,0,4,3335.0,More than 1,A,Platinum,67080
79953,Male,Urban,High School,4.51,0,8,4240.0,1,A,Silver,49992
78737,Male,Rural,Bachelor,3.51,1,6,2298.0,1,B,Platinum,31632
25715,Male,,Bachelor,4.45,1,6,6648.0,1,A,Silver,63468
19524,Male,Rural,High School,7.82,1,1,3617.0,1,A,Gold,64656
6931,Female,Urban,Bachelor,8.6,0,7,2889.0,More than 1,A,Gold,194184
69339,Female,Rural,High School,35.86,1,4,0.0,1,A,Platinum,31596
69335,Male,Urban,Bachelor,8.02,1,6,4047.0,More than 1,A,Platinum,100752
10783,Female,Rural,High School,2.45,1,0,0.0,1,B,Platinum,32232
46602,Male,Rural,Bachelor,14.39,1,6,0.0,1,A,Platinum,34824
45097,Female,Rural,Bachelor,34.79,0,2,0.0,More than 1,B,Silver,111276
35703,Female,Urban,Others,3.14,1,7,6892.0,More than 1,A,Silver,65556
20662,Female,Urban,High School,3.63,0,0,3842.0,More than 1,A,Platinum,193188
649,Female,Rural,Bachelor,5.75,1,3,5606.0,1,A,Gold,63156
32862,Female,Urban,High School,7.81,0,8,2459.0,More than 1,A,Platinum,58092
